pigeon,6
flown,1
beating,1
violently,2
screamed,4
repeated,8
subdued,1
roots,1
attending,2
pleasing,1
hatching,1
serpents,2
night,1
sleep,4
sorry,1
taken,4
highest,1
tree,3
continued,7
raising,1
needs,1
wriggling,1
invent,1
changes,2
deepest,1
girls,3
denying,1
telling,2
tasted,2
truthful,1
eggs,1
silent,3
does,4
matters,2
sulky,2
settled,3
crouched,1
entangled,2
untwist,1
pieces,2
nibbling,3
taller,1
bringing,3
usual,1
strange,4
plan,1
beautiful,8
lives,1
frighten,1
righthand,1
footman,7
livery,1
considered,3
judging,1
rapped,1
loudly,2
powdered,1
crept,1
wood,2
producing,1
invitation,2
queen,35
order,2
duchess,15
bowed,3
curls,1
laughed,1
ground,2
staring,3
stupidly,1
timidly,2
extraordinary,2
constant,2
howling,3
dish,3
kettle,1
sense,1
between,6
sky,1
decidedly,1
skimming,1
grazed,1
louder,1
told,6
muttered,2
drive,1
repeating,3
days,2
smoke,1
stool,1
nursing,3
cook,8
leaning,2
stirring,2
cauldron,2
sneezed,1
sneezing,4
alternately,1
kitchen,2
hearth,1
grinning,1
ear,2
manners,1
grins,1
cheshire,6
word,7
violence,1
pleased,5
introduce,2
fix,1
soup,5
throwing,2
within,1
baby,6
impossible,2
blows,1
jumping,4
agony,1
unusually,1
saucepan,1
flew,1
carried,4
everybody,6
minded,1
faster,1
earth,1
takes,2
hours,3
glanced,1
meant,4
busily,4
bother,1
abide,1
singing,2
lullaby,1
shake,1
roughly,1
beat,4
sang,2
verse,1
tossing,3
howled,1
thoroughly,2
enjoy,1
nurse,1
flinging,1
threw,2
missed,2
caught,3
snorting,1
doubling,1
straightening,1
proper,3
twist,2
tight,1
prevent,1
undoing,1
kill,1
murder,1
grunted,3
reply,1
expressing,1
doubt,1
snout,1
also,1
extremely,1
altogether,1
sobbed,1
creature,2
neither,2
less,3
absurd,1
carry,1
relieved,1
trot,1
dreadfully,6
ugly,1
handsome,1
startled,2
seeing,1
bough,1
yards,1
grinned,2
claws,1
treated,1
depends,1
waving,5
paw,1
march,31
visit,1
grant,1
growls,1
wags,1
tail,3
growl,1
wag,1
therefore,1
invited,1
became,2
hare,16
hatters,1
raving,2
branch,1
appearing,1
vanishing,1
ending,1
often,3
grin,1
farther,1
sight,2
chimneys,1
shaped,2
thatched,1
raised,2
towards,1
hatter,24
front,2
tea,5
dormouse,23
fast,4
using,2
resting,2
elbows,1
uncomfortable,1
corner,1
civil,2
laid,2
wants,2
personal,2
wide,1
raven,1
fun,1
asking,3
breathe,1
ravens,1
break,1
month,1
butter,1
angrily,2
meekly,1
crumbs,1
cup,1
shoulder,3
tells,2
year,2
stays,1
remark,3
politely,1
asleep,4
